;Age;Sex;Job;Housing;Saving accounts;Checking account;Credit amount;Duration;Purpose;Risk
508;78;male;2;rent;rich;rich;7551;39;furniture/equipment;good
509;78;female;1;free;moderate;little;7662;40;furniture/equipment;good
510;65;male;1;own;moderate;little;7773;41;education;good
511;66;male;2;own;moderate;rich;7884;13;car;good
512;67;male;1;own;moderate;rich;7995;14;car;good
513;68;male;1;own;rich;moderate;8106;15;car;good
514;48;female;2;own;rich;rich;8217;16;car;good
515;51;female;2;own;little;little;8328;17;furniture/equipment;good
516;54;male;3;rent;little;little;8439;18;furniture/equipment;good
517;57;female;3;rent;moderate;moderate;8550;19;furniture/equipment;good
518;60;male;2;own;moderate;little;8661;20;education;bad
519;60;female;2;own;moderate;rich;8772;21;car;good
520;36;male;2;own;rich;moderate;8883;22;car;good
521;33;male;2;own;rich;moderate;8994;23;car;good
522;23;male;2;own;rich;moderate;9105;24;car;good
523;63;female;2;own;little;moderate;9216;25;education;good
524;60;male;2;rent;rich;rich;9327;26;education;good
525;37;male;1;free;little;rich;7222;27;education;good
526;34;male;1;own;little;little;7229;28;education;good
527;36;female;2;own;moderate;little;7236;29;education;good
528;57;male;1;own;little;rich;7243;30;education;good
529;52;male;0;own;rich;rich;7250;32;furniture/equipment;good
530;54;male;2;own;moderate;moderate;7257;34;furniture/equipment;good
531;57;male;2;own;moderate;rich;7264;36;education;good
532;60;female;1;rent;moderate;little;7271;38;car;good
533;63;male;1;rent;moderate;little;7278;40;car;good
534;66;female;2;own;rich;moderate;7285;42;car;good
535;69;male;1;own;rich;little;7292;44;car;good
536;72;male;1;own;little;rich;7299;46;furniture/equipment;good
537;75;male;2;own;little;moderate;7306;48;furniture/equipment;good
538;78;male;2;own;moderate;moderate;7313;50;furniture/equipment;good
539;78;male;2;own;moderate;moderate;7320;52;education;good
540;65;male;1;free;moderate;moderate;7327;30;car;bad
541;66;female;1;own;rich;rich;7334;24;car;good
542;67;male;2;own;rich;rich;7341;24;car;good
543;68;male;1;own;rich;little;7348;18;car;good
544;48;female;2;rent;little;little;7355;18;education;good
545;51;male;2;own;rich;rich;7362;8;education;good
546;54;male;2;own;little;rich;7369;12;education;good
547;57;male;1;rent;little;moderate;7376;24;education;good
548;60;female;1;free;moderate;rich;7383;36;education;good
549;63;male;2;own;little;little;7390;6;education;good
550;60;male;1;own;rich;little;7397;24;furniture/equipment;good
551;37;female;1;own;moderate;moderate;7404;18;furniture/equipment;good
552;34;female;2;own;moderate;little;7411;60;education;good
553;36;male;2;own;moderate;rich;7418;48;car;good
554;57;male;2;own;moderate;moderate;7425;24;car;good
555;52;male;1;rent;rich;moderate;7432;24;car;good
556;39;female;1;rent;rich;moderate;7439;24;furniture/equipment;good
557;43;female;2;own;little;moderate;7446;18;furniture/equipment;good
558;44;male;1;own;little;rich;7453;18;education;good
559;47;male;2;own;moderate;rich;7460;8;car;good
560;34;male;2;own;moderate;little;7467;12;car;good
561;25;male;2;own;moderate;rich;7474;24;car;good
562;41;female;1;own;rich;moderate;7481;36;car;good
563;45;male;1;free;rich;rich;7488;6;furniture/equipment;bad
564;46;female;2;own;rich;little;7495;24;furniture/equipment;bad
565;20;male;1;own;little;little;7502;18;furniture/equipment;bad
566;55;male;2;own;rich;moderate;7509;60;education;good
567;74;male;2;rent;little;little;7516;48;car;good
568;29;female;1;free;little;rich;7523;24;car;good
569;36;male;1;own;moderate;moderate;7530;6;car;good
570;33;male;2;own;little;moderate;7537;24;car;good
571;47;male;1;own;rich;moderate;7544;18;education;good
572;49;male;1;own;moderate;moderate;7551;60;education;good
573;51;female;2;own;moderate;rich;7558;48;education;good
574;53;male;2;own;moderate;rich;7565;24;education;good
575;27;female;1;own;little;little;3643;15;education;good
576;28;male;3;own;little;little;4249;30;education;bad
577;32;male;2;own;little;rich;1938;24;radio/TV;bad
578;34;male;3;free;little;little;2910;24;car;good
579;28;male;2;own;rich;little;2659;18;furniture/equipment;good
580;36;female;2;own;little;little;1028;18;car;good
581;39;male;1;own;little;little;3398;8;car;good
582;49;male;2;rent;little;little;5801;12;furniture/equipment;good
583;34;female;2;own;rich;little;1525;24;car;good
584;31;male;2;own;little;rich;4473;36;radio/TV;good
585;28;male;2;own;little;moderate;1068;6;radio/TV;good
586;75;male;3;free;little;little;6615;24;car;good
587;30;female;2;own;moderate;little;1864;18;education;bad
588;24;female;3;own;moderate;moderate;7408;60;car;bad
589;24;female;1;rent;moderate;little;11590;48;car;bad
590;23;male;2;rent;little;little;4110;24;furniture/equipment;bad
591;44;male;3;rent;little;little;3384;6;furniture/equipment;bad
592;23;female;1;own;little;moderate;2101;13;radio/TV;good
593;24;female;2;rent;little;little;1275;15;domestic appliances;bad
594;28;male;2;own;little;little;4169;24;furniture/equipment;good
595;31;male;1;own;little;moderate;1521;10;furniture/equipment;good
596;24;female;2;free;little;moderate;5743;24;education;good
597;26;female;1;rent;little;little;3599;21;furniture/equipment;good
598;25;male;2;rent;quite rich;moderate;3213;18;radio/TV;good
599;33;male;3;own;little;moderate;4439;18;business;good
600;37;male;1;own;little;rich;3949;10;car;good
601;43;female;1;own;little;little;1459;15;radio/TV;good
602;23;male;2;own;little;moderate;882;13;radio/TV;good
603;23;female;0;rent;quite rich;moderate;3758;24;radio/TV;good
604;34;male;1;own;moderate;little;1743;6;business;good
605;32;male;2;free;rich;moderate;1136;9;education;bad
606;23;female;2;rent;little;little;1236;9;domestic appliances;good
607;29;female;2;own;little;moderate;959;9;furniture/equipment;bad
608;38;male;3;own;little;little;3229;18;car;good
609;28;male;2;rent;little;little;6199;12;radio/TV;bad
610;46;male;2;free;quite rich;little;727;10;education;good
611;23;male;1;own;little;moderate;1246;24;car;bad
612;49;male;2;own;little;little;2331;12;radio/TV;good
613;26;male;3;own;little;little;4463;36;radio/TV;bad
614;28;male;2;own;little;little;776;12;radio/TV;good
615;23;female;2;rent;little;little;2406;30;furniture/equipment;bad
616;61;male;2;free;little;moderate;1239;18;education;good
617;37;male;3;own;little;rich;3399;12;radio/TV;good
618;36;female;2;own;little;rich;2247;12;car;good
619;21;male;2;rent;little;little;1766;6;furniture/equipment;good
620;25;male;0;own;little;little;2473;18;furniture/equipment;bad
621;36;male;2;own;little;little;1542;12;business;good
622;27;male;2;own;little;little;3850;18;car;good
623;22;female;2;rent;little;little;3650;18;furniture/equipment;good
624;42;male;2;own;little;little;3446;36;furniture/equipment;bad
625;40;female;2;rent;little;moderate;3001;18;furniture/equipment;good
626;36;male;2;own;little;little;3079;36;car;good
627;33;male;2;own;little;little;6070;18;radio/TV;good
628;23;female;2;rent;little;little;2146;10;furniture/equipment;good
629;63;male;3;free;little;little;13756;60;car;good
630;60;female;3;free;moderate;moderate;14782;60;vacation/others;bad
631;37;female;2;rent;little;little;7685;48;business;bad
632;34;male;2;own;little;little;2320;18;radio/TV;good
633;36;male;2;free;little;little;846;7;radio/TV;good
634;57;male;3;free;little;moderate;14318;36;car;bad
635;52;female;1;own;moderate;little;362;6;car;good
636;39;male;2;own;little;little;2212;20;furniture/equipment;good
637;38;female;3;free;little;moderate;12976;18;car;bad
638;25;female;2;rent;little;little;1283;22;car;good
639;26;male;2;own;little;rich;1330;12;car;good
640;26;male;1;own;moderate;little;4272;30;business;good
641;25;female;2;own;little;little;2238;18;radio/TV;good
642;21;female;2;rent;little;little;1126;18;radio/TV;good
643;40;male;3;own;little;moderate;7374;18;furniture/equipment;good
644;27;male;2;own;quite rich;moderate;2326;15;business;good
645;27;female;2;own;little;little;1449;9;business;good
646;30;male;3;own;little;little;1820;18;car;good
647;19;female;1;rent;rich;moderate;983;12;furniture/equipment;good
648;39;male;3;free;little;little;3249;36;car;good
649;31;female;2;own;little;little;1957;6;radio/TV;good
650;31;male;3;own;little;little;2406;9;furniture/equipment;good
651;32;male;2;rent;moderate;moderate;11760;39;education;good
652;55;female;3;free;little;little;2578;12;furniture/equipment;good
653;46;male;2;own;little;little;2348;36;furniture/equipment;good
654;46;male;2;rent;little;moderate;1223;12;car;bad
655;43;female;1;own;rich;little;1516;24;radio/TV;good
656;39;male;2;own;little;little;1473;18;radio/TV;good
657;28;male;2;own;little;moderate;1887;18;business;good
658;27;male;2;own;little;little;8648;24;business;bad
659;27;male;1;own;little;little;802;14;car;good
660;43;male;2;own;little;moderate;2899;18;car;good
661;22;male;2;own;little;moderate;2039;24;radio/TV;bad
662;43;male;2;own;little;little;2197;24;car;good
663;27;male;2;own;little;little;1053;15;radio/TV;good
664;26;male;3;own;quite rich;little;3235;24;radio/TV;good
665;28;male;2;own;quite rich;rich;939;12;car;bad
666;20;female;2;own;little;moderate;1967;24;radio/TV;good
667;35;male;3;own;little;little;7253;33;car;good
668;42;male;3;own;little;little;2292;12;business;bad
669;40;male;1;rent;quite rich;little;1597;10;car;good
670;35;female;2;own;little;little;1381;24;car;bad
671;35;male;2;own;little;little;5842;36;car;good
672;33;male;1;own;little;little;2579;12;car;bad
673;23;female;2;rent;little;little;8471;18;education;good
674;31;female;3;own;quite rich;little;2782;21;car;good
675;33;female;2;own;little;moderate;1042;18;car;bad
676;20;female;2;rent;rich;little;3186;15;car;good
677;30;male;2;own;little;moderate;2028;12;car;good
678;47;male;1;own;little;moderate;958;12;car;good
679;34;male;3;own;moderate;little;1591;21;furniture/equipment;good
680;25;female;2;own;little;moderate;2762;12;furniture/equipment;bad
681;21;male;2;rent;little;moderate;2779;18;car;good
682;29;male;2;own;little;little;2743;28;radio/TV;good
683;46;male;2;own;rich;little;1149;18;radio/TV;good
684;20;male;2;own;little;little;1313;9;furniture/equipment;good
685;55;female;0;free;little;little;1190;18;repairs;bad
686;74;male;1;own;little;little;3448;5;business;good
687;29;male;3;own;little;moderate;11328;24;vacation/others;bad
688;36;male;3;free;little;little;1872;6;furniture/equipment;good
689;33;male;2;own;little;little;2058;24;repairs;good
690;25;male;2;own;little;little;2136;9;furniture/equipment;good
691;25;male;2;own;little;moderate;1484;12;radio/TV;bad
692;23;male;1;rent;quite rich;little;660;6;repairs;good
693;37;female;2;own;rich;little;1287;24;car;good
694;65;male;0;own;little;little;3394;42;repairs;good
695;26;female;0;own;little;rich;609;12;business;bad
696;39;male;3;own;little;little;1884;12;car;good
697;30;female;2;own;little;little;1620;12;furniture/equipment;good
698;29;male;2;own;little;moderate;2629;20;vacation/others;good
699;41;male;1;own;little;little;719;12;education;bad
700;30;female;3;own;little;moderate;5096;48;furniture/equipment;bad
701;41;female;1;rent;little;little;1244;9;education;good
702;34;female;2;own;little;little;1842;36;car;bad
703;35;male;2;own;little;moderate;2576;7;radio/TV;good
704;55;female;3;own;little;rich;1424;12;furniture/equipment;good
705;61;male;2;own;rich;moderate;1512;15;repairs;bad
706;30;male;3;own;little;little;11054;36;car;good
707;29;female;2;own;little;little;518;6;radio/TV;good
708;34;male;2;own;little;little;2759;12;furniture/equipment;good
709;35;male;3;own;little;little;2670;24;car;good
710;31;male;2;own;little;little;4817;24;car;bad
711;29;female;3;own;little;little;2679;24;car;good
712;36;male;2;rent;little;little;3905;11;car;good
713;35;male;2;free;little;little;3386;12;car;bad
714;27;female;2;own;little;little;343;6;domestic appliances;good
715;32;male;2;own;little;little;4594;18;radio/TV;good
716;37;male;2;own;little;little;3620;36;furniture/equipment;good
717;36;male;2;own;little;little;1721;15;car;good
718;34;female;3;rent;little;moderate;3017;12;furniture/equipment;good
719;38;male;2;own;little;moderate;754;12;education;good
720;34;male;2;own;little;little;1950;18;business;good
721;63;male;2;own;little;little;2924;24;car;good
722;29;female;1;rent;little;little;1659;24;radio/TV;bad
723;32;male;2;own;little;little;7238;48;radio/TV;good
724;26;female;2;own;little;little;2764;33;business;good
725;35;male;1;own;little;little;4679;24;car;good
726;22;male;2;rent;moderate;moderate;3092;24;radio/TV;bad
727;23;female;2;own;little;little;448;6;education;bad
728;28;male;1;own;little;little;654;9;car;bad
729;36;male;3;own;little;little;1238;6;education;good
730;33;male;2;own;little;moderate;1245;18;radio/TV;bad
731;26;female;2;rent;little;little;3114;18;furniture/equipment;bad
732;24;male;2;own;quite rich;little;2569;39;car;good
733;25;male;2;own;little;rich;5152;24;radio/TV;good
734;39;male;1;own;moderate;moderate;1037;12;business;good
735;44;male;2;own;little;little;1478;15;furniture/equipment;good
736;23;female;1;own;little;moderate;3573;12;radio/TV;good
737;26;male;2;own;little;moderate;1201;24;car;good
738;57;female;2;rent;rich;little;3622;30;furniture/equipment;good
739;30;female;2;own;rich;little;960;15;furniture/equipment;good
740;44;male;2;own;quite rich;little;1163;12;car;good
741;47;male;3;own;little;moderate;1209;6;car;bad
742;52;male;2;own;little;little;3077;12;radio/TV;good
743;62;female;2;free;little;little;3757;24;car;good
744;35;male;1;rent;moderate;little;1418;10;car;good
745;26;male;2;rent;little;little;3518;6;car;good
746;26;male;2;own;little;little;1934;12;radio/TV;good
747;42;female;3;free;little;moderate;8318;27;business;bad
748;27;female;2;own;moderate;little;1237;6;radio/TV;good
749;38;male;2;own;little;moderate;368;6;radio/TV;good
750;39;male;1;rent;little;little;2122;12;car;good
751;20;male;2;own;little;little;2996;24;furniture/equipment;bad
752;29;male;3;rent;moderate;moderate;9034;36;furniture/equipment;bad
753;40;male;2;own;little;little;1585;24;furniture/equipment;good
754;32;male;1;own;little;moderate;1301;18;radio/TV;good
755;28;male;2;own;moderate;rich;1323;6;car;good
756;27;female;2;own;little;little;3123;24;car;bad
757;42;male;2;free;little;little;5493;36;car;good
758;49;male;2;own;moderate;rich;1126;9;radio/TV;good
759;38;male;2;own;moderate;moderate;1216;24;radio/TV;bad
760;24;female;2;rent;little;little;1207;24;car;bad
761;27;male;1;own;little;little;1309;10;car;bad
762;36;male;2;own;quite rich;rich;2360;15;car;good
763;34;male;3;own;moderate;moderate;6850;15;car;bad
764;28;male;2;own;little;little;1413;24;radio/TV;good
765;45;male;3;own;moderate;little;8588;39;car;good
766;26;male;2;own;little;little;759;12;car;bad
767;32;male;3;free;little;little;4686;36;car;good
768;26;male;2;rent;little;rich;2687;15;business;good
769;20;male;2;rent;little;moderate;585;12;radio/TV;good
770;54;male;2;own;little;little;2255;24;car;good
771;37;female;2;own;little;little;609;6;car;good
772;40;male;1;own;little;little;1361;6;car;good
773;23;female;2;rent;little;little;7127;36;furniture/equipment;bad
774;43;male;2;own;moderate;little;1203;6;car;good
775;36;male;2;free;little;little;700;6;radio/TV;good
776;44;male;2;free;little;little;5507;24;repairs;good
777;24;female;2;own;little;little;3190;18;radio/TV;bad
778;53;male;2;free;little;little;7119;48;furniture/equipment;bad
779;23;female;2;own;moderate;little;3488;24;car;good
780;26;female;1;own;little;moderate;1113;18;radio/TV;good
781;30;male;2;own;little;moderate;7966;26;car;good
782;31;female;2;own;moderate;little;1532;15;education;good
783;42;male;1;own;little;little;1503;4;radio/TV;good
784;31;male;2;rent;little;little;2302;36;radio/TV;bad
785;41;male;1;own;little;little;662;6;car;good
786;32;male;2;own;little;moderate;2273;36;education;good
787;28;female;2;rent;moderate;moderate;2631;15;car;bad
788;41;male;2;rent;little;little;1503;12;car;good
789;26;male;2;own;moderate;little;1311;24;radio/TV;good
790;25;male;2;own;little;little;3105;24;radio/TV;good
791;33;male;2;rent;little;rich;2319;21;education;bad
792;75;female;3;own;little;little;1374;6;car;good
793;37;female;2;own;little;moderate;3612;18;furniture/equipment;good
794;42;male;3;free;little;little;7763;48;car;bad
795;45;female;1;own;little;rich;3049;18;furniture/equipment;good
796;23;male;2;rent;little;moderate;1534;12;radio/TV;bad
797;60;male;2;free;little;little;2032;24;car;good
798;31;male;2;own;little;little;6350;30;furniture/equipment;bad
799;34;male;1;own;little;rich;2864;18;furniture/equipment;bad
800;61;male;1;own;little;little;1255;12;car;good
801;43;male;2;free;little;little;1333;24;car;bad
802;37;female;2;own;little;little;2022;24;car;good
803;32;male;2;own;little;little;1552;24;radio/TV;good
804;24;female;1;own;little;little;626;12;radio/TV;bad
805;35;male;2;free;little;little;8858;48;car;good
806;23;female;2;own;little;little;996;12;repairs;good
807;45;male;1;own;quite rich;little;1750;6;radio/TV;good
808;34;male;2;own;little;little;6999;48;radio/TV;bad
809;27;male;2;own;moderate;moderate;1995;12;car;good
810;67;female;3;own;little;moderate;1199;9;education;good
811;22;male;2;own;little;moderate;1331;12;radio/TV;bad
812;28;female;2;own;moderate;moderate;2278;18;car;bad
813;29;female;2;own;little;little;5003;21;car;bad
814;27;male;2;own;little;little;3552;24;furniture/equipment;bad
815;31;male;1;own;little;moderate;1928;18;furniture/equipment;bad
816;49;male;2;free;little;little;2964;24;car;good
817;24;male;1;rent;little;little;1546;24;radio/TV;bad
818;29;female;2;own;little;rich;683;6;radio/TV;good
819;37;male;2;free;little;moderate;12389;36;car;bad
820;37;male;3;own;little;moderate;4712;24;business;good
821;23;female;2;rent;moderate;moderate;1553;24;radio/TV;good
822;36;male;2;own;little;little;1372;12;car;bad
823;34;male;2;own;rich;little;2578;24;radio/TV;good
824;41;male;2;own;little;moderate;3979;48;radio/TV;good
825;31;female;2;own;little;little;6758;48;radio/TV;bad
826;23;female;1;rent;little;little;3234;24;furniture/equipment;bad
827;38;male;2;own;little;little;5954;30;radio/TV;good
828;26;female;3;rent;little;little;5433;24;car;good
829;22;female;1;own;little;little;806;15;business;good
830;27;male;1;own;little;moderate;1082;9;radio/TV;good
831;24;female;2;own;little;little;2788;15;furniture/equipment;good
832;27;female;2;own;little;moderate;2930;12;radio/TV;good
833;33;female;2;own;little;little;1927;24;education;good
834;27;male;2;own;little;moderate;2820;36;car;bad
835;27;male;1;own;little;little;937;24;education;good
836;30;male;2;own;little;moderate;1056;18;car;bad
837;49;male;1;own;little;moderate;3124;12;car;good
838;26;female;2;rent;little;little;1388;9;furniture/equipment;good
839;33;male;1;rent;little;moderate;2384;36;repairs;bad
840;52;female;3;free;little;little;2133;12;car;good
841;20;female;2;rent;little;little;2039;18;furniture/equipment;bad
842;36;male;2;rent;little;little;2799;9;car;good
843;21;male;1;own;little;little;1289;12;furniture/equipment;good
844;47;male;1;own;little;little;1217;18;domestic appliances;bad
845;60;male;2;own;little;little;2246;12;furniture/equipment;bad
846;58;female;1;own;little;little;385;12;radio/TV;good
847;42;female;2;rent;little;moderate;1965;24;car;good
848;36;female;1;own;rich;little;1572;21;business;good
849;20;female;1;rent;little;moderate;2718;24;car;bad
850;40;male;3;own;little;little;1358;24;vacation/others;bad
851;32;female;1;own;moderate;moderate;931;6;car;bad
852;23;female;2;rent;little;little;1442;24;car;bad
853;36;male;1;own;little;moderate;4241;24;business;bad
854;31;male;2;own;little;little;2775;18;car;bad
855;32;male;2;free;little;little;3863;24;business;good
856;45;female;2;own;little;moderate;2329;7;radio/TV;good
857;30;female;2;own;little;moderate;918;9;furniture/equipment;bad
858;34;female;1;free;little;moderate;1837;24;education;bad
859;28;female;3;own;little;little;3349;36;furniture/equipment;bad
860;23;female;2;own;little;rich;1275;10;furniture/equipment;good
861;22;male;2;own;quite rich;little;2828;24;furniture/equipment;good
862;74;male;3;own;little;little;4526;24;business;good
863;50;female;2;free;moderate;moderate;2671;36;radio/TV;bad
864;33;male;2;own;little;little;2051;18;radio/TV;good
865;45;male;2;free;little;little;1300;15;car;good
866;22;female;2;own;moderate;little;741;12;domestic appliances;bad
867;48;female;1;free;moderate;rich;1240;10;car;bad
868;29;female;2;own;rich;little;3357;21;radio/TV;good
869;22;female;2;rent;little;little;3632;24;car;good
870;22;female;2;own;little;little;1808;18;furniture/equipment;bad
871;48;male;3;own;little;moderate;12204;48;business;good
872;27;male;3;free;little;moderate;9157;60;radio/TV;good
873;37;male;2;rent;little;little;3676;6;car;good
874;21;female;2;rent;moderate;moderate;3441;30;furniture/equipment;bad
875;49;male;1;own;little;little;640;12;car;good
876;27;male;2;own;little;moderate;3652;21;business;good
877;32;male;2;own;little;little;1530;18;car;bad
878;38;male;2;own;little;little;3914;48;business;bad
879;22;female;2;rent;little;little;1858;12;furniture/equipment;good
880;65;male;2;free;little;little;2600;18;radio/TV;bad
881;35;male;2;own;little;little;1979;15;radio/TV;good
882;41;male;2;own;little;rich;2116;6;furniture/equipment;good
883;29;male;2;own;moderate;moderate;1437;9;car;bad
884;36;male;2;own;quite rich;little;4042;42;furniture/equipment;good
885;64;male;1;own;little;little;3832;9;education;good
886;28;female;2;own;little;little;3660;24;radio/TV;good
887;44;male;2;own;little;little;1553;18;furniture/equipment;bad
888;23;male;2;own;little;moderate;1444;15;radio/TV;good
889;19;female;2;rent;little;little;1980;9;furniture/equipment;bad
890;25;female;1;own;little;moderate;1355;24;car;bad
891;47;male;2;own;little;little;1393;12;education;good
892;28;female;2;own;quite rich;little;1376;24;radio/TV;good
893;21;male;2;own;little;little;15653;60;radio/TV;good
894;34;female;2;own;little;little;1493;12;radio/TV;good
895;26;male;2;own;little;little;4370;42;radio/TV;bad
896;27;female;0;own;little;little;750;18;education;bad
897;38;male;1;own;little;moderate;1308;15;repairs;good
898;40;male;3;own;moderate;little;4623;15;education;bad
899;33;male;2;own;little;little;1851;24;radio/TV;good
900;32;male;3;own;little;little;1880;18;radio/TV;good
901;27;male;2;rent;little;little;7980;36;business;bad
902;32;male;2;own;little;little;4583;30;furniture/equipment;good
903;26;female;2;own;quite rich;little;1386;12;car;bad
904;38;male;2;free;little;rich;947;24;car;bad
905;40;male;1;rent;little;little;684;12;education;bad
906;50;male;3;free;little;little;7476;48;education;good
907;37;male;1;own;little;moderate;1922;12;furniture/equipment;bad
908;45;male;2;own;little;little;2303;24;car;bad
909;42;male;3;own;moderate;moderate;8086;36;car;bad
910;35;male;2;own;little;little;2346;24;car;good
911;22;male;2;free;little;little;3973;14;car;good
912;41;male;1;own;little;moderate;888;12;car;bad
913;37;male;2;own;little;little;10222;48;radio/TV;good
914;28;female;2;own;little;moderate;4221;30;business;good
915;41;male;2;own;little;moderate;6361;18;furniture/equipment;good
916;23;male;2;rent;little;rich;1297;12;radio/TV;good
917;23;male;2;own;little;little;900;12;car;bad
918;50;male;2;own;little;little;2241;21;furniture/equipment;good
919;35;male;3;own;little;moderate;1050;6;furniture/equipment;good
920;50;female;1;own;little;rich;1047;6;education;good
921;27;male;3;own;little;little;6314;24;vacation/others;good
922;34;male;2;own;rich;moderate;3496;30;furniture/equipment;good
923;27;female;2;own;little;little;3609;48;business;good
924;43;male;2;rent;little;little;4843;12;car;bad
925;47;male;2;own;little;rich;3017;30;radio/TV;good
926;27;male;1;own;moderate;little;4139;24;business;good
927;31;male;2;own;moderate;little;5742;36;business;good
928;42;male;3;own;little;little;10366;60;car;good
929;24;male;2;own;quite rich;little;2080;6;car;good
930;41;male;1;own;quite rich;little;2580;21;business;bad
931;26;female;3;rent;little;little;4530;30;radio/TV;good
932;33;male;2;own;little;little;5150;24;furniture/equipment;good
933;24;male;2;own;moderate;moderate;5595;72;radio/TV;bad
934;64;male;1;rent;little;little;2384;24;radio/TV;good
935;26;female;2;own;little;little;1453;18;radio/TV;good
936;56;female;2;own;little;little;1538;6;education;good
937;37;male;2;free;little;little;2279;12;radio/TV;good
938;33;male;2;own;little;little;1478;15;radio/TV;good
939;47;male;2;free;little;little;5103;24;radio/TV;good
940;31;male;1;own;moderate;moderate;9857;36;business;good
941;34;male;2;free;little;little;6527;60;car;good
942;27;male;2;own;little;rich;1347;10;radio/TV;good
943;30;male;2;free;moderate;moderate;2862;36;car;good
944;35;male;2;own;moderate;little;2753;9;radio/TV;good
945;31;male;2;own;rich;little;3651;12;car;good
946;25;male;2;own;little;little;975;15;furniture/equipment;good
947;25;female;1;own;moderate;moderate;2631;15;repairs;good
948;29;male;2;own;moderate;moderate;2896;24;radio/TV;good
949;44;male;1;own;little;little;4716;6;car;good
950;28;male;2;own;little;little;2284;24;radio/TV;good
951;50;male;2;rent;quite rich;little;1236;6;car;good
952;29;male;2;own;little;moderate;1103;12;radio/TV;good
953;38;female;0;own;little;little;926;12;car;good
954;24;male;2;own;little;little;1800;18;radio/TV;good
955;40;male;3;rent;little;rich;1905;15;education;good
956;29;female;1;rent;quite rich;little;1123;12;furniture/equipment;bad
957;46;male;2;free;little;little;6331;48;car;bad
958;47;female;2;free;moderate;rich;1377;24;radio/TV;good
959;41;male;2;own;moderate;moderate;2503;30;business;good
960;32;female;2;own;little;moderate;2528;27;business;good
961;35;female;2;free;quite rich;little;5324;15;car;good
962;24;male;2;own;moderate;moderate;6560;48;car;bad
963;25;female;2;rent;little;moderate;2969;12;furniture/equipment;bad
964;25;female;2;own;little;moderate;1206;9;radio/TV;good
965;37;male;1;own;little;moderate;2118;9;radio/TV;good
966;32;male;3;own;quite rich;little;629;18;radio/TV;good
967;35;female;2;free;little;little;1198;6;education;bad
968;46;male;3;own;little;little;2476;21;car;good
969;25;male;1;own;little;little;1138;9;radio/TV;good
970;27;male;3;own;little;moderate;14027;60;car;bad
971;63;male;2;own;little;little;7596;30;car;good
972;40;male;2;own;little;little;3077;30;radio/TV;good
973;32;male;3;free;little;little;1505;18;radio/TV;good
974;31;male;2;own;little;rich;3148;24;radio/TV;good
975;31;male;2;own;moderate;moderate;6148;20;car;good
976;34;male;3;own;little;rich;1337;9;radio/TV;bad
977;24;female;2;rent;rich;moderate;433;6;education;bad
978;24;female;1;own;little;little;1228;12;car;bad
979;66;female;1;own;quite rich;moderate;790;9;radio/TV;good
980;21;female;2;rent;little;little;2570;27;car;bad
981;41;female;1;own;rich;little;250;6;car;good
982;47;male;1;own;quite rich;little;1316;15;radio/TV;good
983;25;female;2;rent;little;little;1882;18;radio/TV;bad
984;59;female;2;rent;little;moderate;6416;48;business;bad
985;36;male;2;own;rich;rich;1275;24;business;good
986;33;male;2;own;little;moderate;6403;24;radio/TV;good
987;21;male;1;rent;little;little;1987;24;radio/TV;bad
988;44;female;1;own;little;moderate;760;8;radio/TV;good
989;28;female;2;rent;rich;little;2603;24;car;good
990;37;female;2;own;little;little;3380;4;car;good
991;29;female;0;own;little;moderate;3990;36;domestic appliances;good
992;23;female;3;rent;little;moderate;11560;24;car;bad
993;35;male;1;own;moderate;little;4380;18;car;good
994;45;male;3;own;little;little;6761;6;car;good
995;26;female;1;rent;moderate;moderate;4280;30;business;bad
996;32;male;2;own;moderate;little;2325;24;car;good
997;23;male;1;own;little;moderate;1048;10;radio/TV;good
998;41;male;2;own;little;little;3160;21;radio/TV;good
999;22;male;2;own;quite rich;little;2483;24;furniture/equipment;good
1000;30;male;3;own;little;little;14179;39;furniture/equipment;good
1001;28;male;1;own;little;little;1797;13;business;good
1002;23;female;2;rent;little;little;2511;15;car;good
1003;37;female;1;own;little;little;1274;12;car;bad
1004;26;male;2;own;little;little;5248;21;car;good
1005;33;male;2;own;little;little;3029;15;car;good
1006;49;female;2;own;little;little;428;6;furniture/equipment;good
1007;23;female;1;own;little;little;976;18;car;bad
1008;23;female;1;rent;moderate;moderate;841;12;business;good
1009;25;female;2;own;little;little;5771;30;radio/TV;good
1010;55;male;2;free;rich;little;1555;12;repairs;bad
1011;32;female;2;rent;little;little;1285;24;car;bad
1012;74;male;0;own;little;rich;1299;6;car;good
1013;39;male;2;free;little;rich;1271;15;radio/TV;bad
1014;31;male;2;own;little;little;1393;24;car;good
1015;35;male;2;own;little;little;691;12;car;bad
1016;59;female;2;own;little;little;5045;15;car;good
1017;24;female;2;rent;little;little;2124;18;furniture/equipment;bad
1018;24;male;1;own;little;little;2214;12;radio/TV;good
1019;30;male;3;free;little;little;12680;21;car;bad
1020;27;male;2;own;moderate;little;2463;24;car;good
1021;40;male;1;own;little;moderate;1155;12;radio/TV;good
1022;31;male;1;own;little;little;3108;30;furniture/equipment;bad
1023;31;female;2;rent;little;little;2901;10;car;good
1024;28;male;2;rent;little;moderate;3617;12;furniture/equipment;good
1025;63;male;1;own;little;little;1655;12;radio/TV;good
1026;26;female;2;rent;little;little;2812;24;car;good
